"HSSD500","SCANNET200","SCANNET200_proximity","NYU40","NYU40_proximity","MPCAT40","MPCAT40_proximity","COCO80","COCO80_proximity"
"blanket_chest","dresser","0.865","dresser","0.865","chest_of_drawers","0.882","bed","0.8382"
"blender","machine","0.8962","picture","0.8765","objects","0.8843","cup","0.8833"
"board_game","board","0.8677","table","0.8452","table","0.8452","book","0.8415"
"bolster","cushion","0.9002","pillow","0.8964","cushion","0.9002","bed","0.8591"
"book","book","1.0","books","0.9913","picture","0.9172","book","1.0"
"bookcase","bookshelf","0.9699","bookshelf","0.9699","shelving","0.9477","book","0.9144"
"bookend","bookshelf","0.9137","bookshelf","0.9137","shelving","0.8926","book","0.8922"
"bottle","bottle","1.0","picture","0.9038","objects","0.907","bottle","1.0"
"bottle_opener","bottle","0.8733","picture","0.8362","picture","0.8362","bottle","0.8733"
"bouquet","plant","0.8719","picture","0.8456","plant","0.8719","vase","0.8667"
"bowl","bowl","1.0","picture","0.9012","picture","0.9012","bowl","1.0"
"bread-bin","bin","0.9369","box","0.8894","stool","0.8741","toaster","0.8866"
"bridge","structure","0.9074","wall","0.8802","wall","0.8802","boat","0.9031"
"broom","broom","1.0","picture","0.8727","picture","0.8727","spoon","0.8727"
"bucket","bucket","1.0","box","0.8988","picture","0.8916","cup","0.9179"
"buffet","bar","0.8946","counter","0.8875","counter","0.8875","dining table","0.8748"
"bulletin_board","bulletin board","1.0","wall","0.8571","board_panel","0.8599","tv","0.8321"
"bunk_bed","bed","0.8986","bed","0.8986","bed","0.8986","bed","0.8986"
"butter_dish","soap dish","0.8886","box","0.8378","table","0.828","cake","0.8624"
"cabin","structure","0.9186","cabinet","0.8951","cabinet","0.8951","boat","0.8998"
"cabinet","cabinet","1.0","cabinet","1.0","cabinet","1.0","tv","0.8954"
"caddy","picture","0.86","picture","0.86","picture","0.86","car","0.8849"
"cafeteria_tray","tray","0.9386","table","0.8918","table","0.8918","dining table","0.87"
"cage","crate","0.8931","picture","0.8881","picture","0.8881","bed","0.8663"
"cake","plate","0.8933","box","0.8917","picture","0.8901","cake","1.0"
"cake_stand","table","0.8798","table","0.8798","table","0.8798","cake","0.9001"
"camcorder","tv","0.887","television","0.8961","picture","0.8784","tv","0.887"
"camera","picture","0.9525","picture","0.9525","picture","0.9525","person","0.9318"
"camp_chair","chair","0.9389","chair","0.9389","chair","0.9389","chair","0.9389"
"candelabrum","candle","0.8504","lamp","0.8315","plant","0.8206","vase","0.8086"
"candle","candle","1.0","lamp","0.9166","picture","0.8934","cup","0.9107"
"candlestick","candle","0.9132","lamp","0.8875","picture","0.8817","bowl","0.8727"
"canister","container","0.9259","box","0.8841","objects","0.8902","bottle","0.9082"
"car","picture","0.9137","picture","0.9137","picture","0.9137","car","1.0"
"carafe","bottle","0.9087","picture","0.8625","objects","0.8647","bottle","0.9087"
"casserole","bowl","0.8926","box","0.8772","misc","0.8741","bowl","0.8926"
"cat","person","0.9044","picture","0.899","misc","0.8991","cat","1.0"
"ceiling_fan","ceiling light","0.908","ceiling","0.8942","ceiling","0.8942","clock","0.8101"
"ceiling_lamp","ceiling light","0.9831","ceiling","0.9305","ceiling","0.9305","bowl","0.8171"
"cellular_telephone","telephone","0.9403","picture","0.9055","picture","0.9055","cell phone","0.9616"
"chain_saw","machine","0.8402","picture","0.823","picture","0.823","knife","0.8514"
"chair","chair","1.0","chair","1.0","chair","1.0","chair","1.0"
"chaise_longue","sofa chair","0.8973","otherfurniture","0.8772","furniture","0.8835","chair","0.874"
"chandelier","ceiling light","0.886","lamp","0.8771","lighting","0.8665","clock","0.8428"
"chess","picture","0.8629","picture","0.8629","picture","0.8629","keyboard","0.8595"
"chest","clothes","0.8928","clothes","0.8928","clothes","0.8928","person","0.8606"
"chest_of_drawers","dresser","0.9368","dresser","0.9368","chest_of_drawers","1.0","suitcase","0.8478"
"chicken","person","0.8946","picture","0.8911","picture","0.8911","bird","0.9222"
"china_cabinet","kitchen cabinet","0.8916","cabinet","0.865","cabinet","0.865","dining table","0.8081"
"chopping_board","tray","0.856","desk","0.8484","table","0.843","knife","0.8497"
"christmas_stocking","bag","0.8452","bag","0.8452","towel","0.8409","book","0.8174"
"christmas_tree","plant","0.8709","picture","0.8683","plant","0.8709","person","0.8566"
"clock","clock","1.0","picture","0.8826","picture","0.8826","clock","1.0"
"clothes_dryer","clothes dryer","1.0","clothes","0.9034","clothes","0.9034","hair drier","0.8907"
"clothes_tree","clothes","0.9017","clothes","0.9017","clothes","0.9017","toilet","0.8522"
"clothing_rack","rack","0.8976","clothes","0.8846","clothes","0.8846","bed","0.8331"
"club_chair","chair","0.9585","chair","0.9585","chair","0.9585","chair","0.9585"
"coaster","container","0.8761","picture","0.8617","picture","0.8617","cup","0.8616"
"coatrack","coat rack","0.9768","clothes","0.8457","clothes","0.8457","backpack","0.8327"
"cocktail_shaker","bottle","0.8629","counter","0.8148","counter","0.8148","bottle","0.8629"
"coffee_maker","coffee maker","1.0","picture","0.8745","appliances","0.8905","cup","0.901"
"coffee_table","coffee table","1.0","table","0.9233","table","0.9233","dining table","0.9166"
"coffeepot","coffee kettle","0.9571","picture","0.8798","picture","0.8798","cup","0.9097"
"colander","bucket","0.8538","lamp","0.7969","picture","0.7868","bowl","0.8336"
"computer_screen","monitor","0.9218","television","0.9048","tv_monitor","0.9275","tv","0.9142"
"computer_work_area","desk","0.8915","desk","0.8915","furniture","0.8813","laptop","0.8709"
"conference_table","dining table","0.9414","table","0.9273","table","0.9273","dining table","0.9414"
"console_table","tv stand","0.8965","desk","0.8854","table","0.8753","dining table","0.8789"
"cooker","oven","0.9385","picture","0.8899","appliances","0.9181","oven","0.9385"
"cookie_sheet","toaster oven","0.8818","picture","0.8574","picture","0.8574","toaster","0.8565"
"countertop","kitchen counter","0.9547","counter","0.9213","counter","0.9213","sink","0.893"
"cradle","bed","0.8698","bed","0.8698","bed","0.8698","bed","0.8698"
"crate","crate","1.0","box","0.9365","cabinet","0.8835","suitcase","0.9017"
"credenza","tv stand","0.8778","cabinet","0.8742","cabinet","0.8742","tv","0.8442"
"crib","bed","0.8786","bed","0.8786","bed","0.8786","bed","0.8786"
"cruet","bottle","0.8517","picture","0.8144","objects","0.8267","bottle","0.8517"
"cup","cup","1.0","picture","0.9186","picture","0.9186","cup","1.0"
"curtain","curtain","1.0","curtain","1.0","curtain","1.0","cup","0.8558"
"curtain_rod","shower curtain rod","0.9104","curtain","0.9035","curtain","0.9035","cup","0.8132"
"cushion","cushion","1.0","pillow","0.9507","cushion","1.0","couch","0.8892"
"dartboard","picture","0.8801","picture","0.8801","picture","0.8801","tennis racket","0.8794"
"darts","picture","0.8808","picture","0.8808","objects","0.8809","knife","0.8762"
"daybed","bed","0.923","bed","0.923","bed","0.923","bed","0.923"
"desk","desk","1.0","desk","1.0","table","0.9391","dining table","0.9313"
"desk_calendar","calendar","0.9288","desk","0.87","table","0.8308","book","0.8378"
"desk_organizer","desk","0.8924","desk","0.8924","shelving","0.8432","dining table","0.8358"
"dining_area","dining table","0.9377","table","0.8745","table","0.8745","dining table","0.9377"
"dining_table","dining table","1.0","table","0.9579","table","0.9579","dining table","1.0"
"dish_rack","dish rack","1.0","sink","0.8443","sink","0.8443","sink","0.8443"
"dishwasher","dishwasher","1.0","refridgerator","0.8543","appliances","0.8605","microwave","0.8661"
"dog","person","0.9088","picture","0.9028","picture","0.9028","dog","1.0"
"dollhouse","furniture","0.8716","shelves","0.8668","furniture","0.8716","tv","0.8442"
"door","door","1.0","door","1.0","door","1.0","refrigerator","0.8852"
"doorbell","door","0.8985","door","0.8985","door","0.8985","cell phone","0.8489"
"doormat","mat","0.8895","floor_mat","0.9313","floor","0.8524","bed","0.8105"
"double_bed","bed","0.9489","bed","0.9489","bed","0.9489","bed","0.9489"
"double_door","door","0.9576","door","0.9576","door","0.9576","refrigerator","0.8615"
"drawer","dresser","0.9226","dresser","0.9226","chest_of_drawers","0.9073","suitcase","0.8534"
"drawer_unit","file cabinet","0.9288","dresser","0.923","chest_of_drawers","0.9178","oven","0.8662"
"dresser","dresser","1.0","dresser","1.0","chest_of_drawers","0.9368","bed","0.8581"
"dressing_table","desk","0.9233","desk","0.9233","table","0.8728","dining table","0.8934"
"drum","bucket","0.8915","otherfurniture","0.8759","furniture","0.8832","cup","0.8781"
"drum_set","guitar","0.8816","chair","0.8642","furniture","0.8693","motorcycle","0.8722"
"dryer","clothes dryer","0.9479","clothes","0.9047","appliances","0.9086","oven","0.9107"
"drying_rack","rack","0.8714","shelves","0.8539","shelving","0.8681","dining table","0.8104"
"dvd_player","tv","0.9177","television","0.9171","tv_monitor","0.9074","tv","0.9177"
"eames_chair","office chair","0.9022","chair","0.8813","chair","0.8813","chair","0.8813"
"earphone","headphones","0.9613","picture","0.8857","picture","0.8857","cell phone","0.901"
"easel","music stand","0.8847","picture","0.8725","picture","0.8725","chair","0.8592"
"easy_chair","chair","0.9825","chair","0.9825","chair","0.9825","chair","0.9825"
"electric_fan","fan","0.934","lamp","0.8608","appliances","0.8556","hair drier","0.8518"
"electric_frying_pan","coffee kettle","0.867","picture","0.8454","appliances","0.8508","oven","0.8628"
"elevator","door","0.8924","door","0.8924","door","0.8924","refrigerator","0.8704"
"elevator_door","door","0.9279","door","0.9279","door","0.9279","refrigerator","0.8666"
"end_table","end table","1.0","desk","0.9065","table","0.897","dining table","0.8818"
"espresso_maker","coffee maker","0.9533","television","0.8487","appliances","0.8756","cup","0.8732"
"exercise_bike","office chair","0.9106","chair","0.8861","gym_equipment","0.9059","bicycle","0.8987"
"fan","fan","1.0","otherprop","0.8623","picture","0.8606","person","0.8599"
"faucet","sink","0.9129","sink","0.9129","sink","0.9129","sink","0.9129"
"fence","wall","0.9036","wall","0.9036","wall","0.9036","bench","0.8752"
"file","picture","0.9361","picture","0.9361","picture","0.9361","book","0.9139"
"fire_extinguisher","fire extinguisher","1.0","picture","0.8334","picture","0.8334","bottle","0.8606"
"firepit","fireplace","0.8652","otherfurniture","0.848","fireplace","0.8652","bench","0.8371"
"fireplace","fireplace","1.0","otherfurniture","0.856","fireplace","1.0","oven","0.8632"
"flat_bench","bench","0.8798","desk","0.8545","furniture","0.8445","bench","0.8798"
"floor_lamp","lamp","0.9263","lamp","0.9263","lighting","0.855","wine glass","0.8297"
"floor_mirror","mirror","0.9187","mirror","0.9187","mirror","0.9187","cell phone","0.8082"
"flower","plant","0.9247","picture","0.8818","plant","0.9247","bird","0.8717"
"flower_in_vase","potted plant","0.8408","lamp","0.7777","plant","0.8381","vase","0.9188"
"folding_chair","folded chair","0.9494","chair","0.9339","chair","0.9339","chair","0.9339"
"foosball_table","keyboard piano","0.8427","table","0.8368","table","0.8368","dining table","0.8321"
"football","ball","0.935","clothes","0.8509","objects","0.8567","sports ball","0.9487"
"footstool","stool","0.9358","otherfurniture","0.8999","stool","0.9358","chair","0.8973"
"frying_pan","bowl","0.8825","picture","0.882","misc","0.8831","spoon","0.8848"
"game_table","table","0.9371","table","0.9371","table","0.9371","dining table","0.9261"
"garage_door","door","0.8918","door","0.8918","door","0.8918","car","0.8573"
"gate","door","0.9144","door","0.9144","door","0.9144","car","0.8638"
"gazebo","structure","0.8692","table","0.8497","table","0.8497","bed","0.8432"
"gift_box","box","0.9529","box","0.9529","picture","0.8895","book","0.8987"
"glass","cup","0.9266","window","0.9048","window","0.9048","wine glass","0.9276"
"globe","ball","0.9027","lamp","0.864","picture","0.8472","sports ball","0.8965"
"grab_bar","hair dryer","0.8615","picture","0.8538","picture","0.8538","baseball bat","0.8511"
"grandfather_clock","clock","0.8926","picture","0.8368","picture","0.8368","clock","0.8926"
"greenhouse","structure","0.8565","window","0.8435","window","0.8435","train","0.8391"
"greeting_card","book","0.8844","books","0.8785","picture","0.8776","book","0.8844"
"guitar","guitar","1.0","picture","0.8833","picture","0.8833","knife","0.8784"
"gym_equipment","machine","0.8898","otherfurniture","0.8654","gym_equipment","1.0","bicycle","0.8595"
"hall_tree","structure","0.8593","wall","0.8552","wall","0.8552","truck","0.8454"
"hammock","bed","0.8333","bed","0.8333","bed","0.8333","bed","0.8333"
"hamper","basket","0.9203","box","0.8839","clothes","0.8575","suitcase","0.8621"
"hand_glass","bottle","0.8774","window","0.8774","window","0.8774","wine glass","0.8883"
"handcart","cart","0.9277","otherfurniture","0.8441","furniture","0.8499","bicycle","0.8521"
"handle","pipe","0.9131","otherprop","0.8974","objects","0.88","bottle","0.8972"
"hanging_cabinet","cabinet","0.9409","cabinet","0.9409","cabinet","0.9409","refrigerator","0.876"
"hatbox","hat","0.9077","box","0.8882","stool","0.8603","suitcase","0.859"
"headboard","bed","0.897","bed","0.897","bed","0.897","bed","0.897"
"heating_system","radiator","0.9076","otherstructure","0.8896","appliances","0.9107","oven","0.8896"
"hedge","plant","0.8656","wall","0.861","plant","0.8656","car","0.8528"
"highchair","chair","0.8951","chair","0.8951","chair","0.8951","chair","0.8951"
"hobby","picture","0.8718","picture","0.8718","picture","0.8718","person","0.8565"
"hook","object","0.893","picture","0.8865","misc","0.8883","fork","0.8915"
"horse","picture","0.8966","picture","0.8966","picture","0.8966","horse","1.0"
"hot_tub","bathtub","0.9213","bathtub","0.9213","bathtub","0.9213","sink","0.8687"
"hourglass","clock","0.8528","clothes","0.8488","clothes","0.8488","clock","0.8528"
"interior_barn_door","door","0.842","door","0.842","door","0.842","refrigerator","0.7535"
"ironing_board","ironing board","1.0","towel","0.8492","towel","0.8492","surfboard","0.8726"
"jar","bottle","0.9213","picture","0.8988","picture","0.8988","bottle","0.9213"
"jewelry_box","box","0.9329","box","0.9329","cabinet","0.8947","book","0.8817"
"jug","cup","0.9287","bag","0.9005","picture","0.8844","cup","0.9287"
"kettle","coffee kettle","0.9615","bag","0.8832","appliances","0.8864","cup","0.9011"
"king_bed","bed","0.9517","bed","0.9517","bed","0.9517","bed","0.9517"
"kitchen_appliance","coffee maker","0.9212","picture","0.8856","appliances","0.944","oven","0.9162"
"kitchen_cabinet","kitchen cabinet","1.0","cabinet","0.9499","cabinet","0.9499","refrigerator","0.8891"
"kitchen_island","kitchen counter","0.9375","desk","0.9081","table","0.8954","dining table","0.9132"
"kitchen_scale","scale","0.9035","counter","0.863","appliances","0.8634","knife","0.8685"
"kitchen_timer","clock","0.8789","counter","0.8677","appliances","0.8703","clock","0.8789"
"knife","picture","0.9115","picture","0.9115","picture","0.9115","knife","1.0"
"knocker","door","0.8656","door","0.8656","door","0.8656","knife","0.8293"
"l-shaped_couch","couch","0.9706","sofa","0.9431","sofa","0.9431","couch","0.9706"
"ladder","ladder","1.0","shelves","0.901","stairs","0.9096","chair","0.8833"
"ladder_bookcase","ladder","0.9171","shelves","0.9082","shelving","0.9148","book","0.8446"
"lamp","lamp","1.0","lamp","1.0","lighting","0.9143","cup","0.8937"
"lantern","light","0.9234","lamp","0.9231","lighting","0.8939","bottle","0.8717"
"laptop","laptop","1.0","desk","0.9016","picture","0.8935","laptop","1.0"
"laundry_bag","laundry hamper","0.9388","bag","0.9317","clothes","0.8976","backpack","0.897"
"lawn_mower","vacuum cleaner","0.882","picture","0.8327","appliances","0.8383","car","0.8574"
"lectern","music stand","0.8684","desk","0.8605","stool","0.8642","chair","0.838"
"letter","paper","0.9393","paper","0.9393","picture","0.9273","book","0.9075"
"loudspeaker","speaker","0.9579","television","0.8787","appliances","0.8827","tv","0.8728"
"luggage_rack","rack","0.883","shelves","0.8735","shelving","0.878","car","0.8537"
"magazine","book","0.9226","books","0.9101","picture","0.8755","book","0.9226"
"magazine_rack","shelf","0.8583","bookshelf","0.8561","shelving","0.8612","book","0.8471"
"magnet","machine","0.902","picture","0.8813","objects","0.8877","cup","0.8748"
"mailbox","mailbox","1.0","box","0.8775","misc","0.87","parking meter","0.8847"
"makeup_mirror","mirror","0.9419","mirror","0.9419","mirror","0.9419","cell phone","0.8311"
"mantel","fireplace","0.8854","bookshelf","0.8724","fireplace","0.8854","tv","0.8361"
"mantel_clock","clock","0.9226","bookshelf","0.8215","fireplace","0.8626","clock","0.9226"
"mat","mat","1.0","floor_mat","0.9322","floor","0.8867","bed","0.8595"
"mattress","mattress","1.0","bed","0.9146","bed","0.9146","bed","0.9146"
"measuring_cup","cup","0.8913","picture","0.8285","misc","0.8389","cup","0.8913"
"media_player","tv","0.8893","television","0.8936","tv_monitor","0.8973","tv","0.8893"
