"HSSD400","HSSD80","HSSD80_proximity","HSSD80_reject","SCANNET200","SCANNET200_proximity","SCANNET200_reject","NYU40","NYU40_proximity","NYU40_reject","MPCAT40","MPCAT40_proximity","MPCAT40_reject","COCO80","COCO80_proximity","COCO80_reject"
"art_stand","stand","0.9259","False","stand","0.9259","False","counter","0.8909","True","furniture","0.8938","False","book","0.8812","True"
"awning","curtain","0.859","True","structure","0.8637","True","curtain","0.859","True","curtain","0.859","True","umbrella","0.8633","True"
"baby_changing_station","toilet","0.8753","True","toilet","0.8753","True","toilet","0.8753","True","toilet","0.8753","True","toilet","0.8753","True"
"bag","clothing","0.9093","True","bag","1.0","False","bag","1.0","False","clothes","0.9193","True","backpack","0.9552","False"
"balcony","window","0.8665","True","windowsill","0.8676","True","window","0.8665","True","railing","0.8973","True","boat","0.844","True"
"balcony_railing","bench","0.8054","True","stair rail","0.9096","False","wall","0.8005","True","railing","0.9592","False","bench","0.8054","True"
"bar","counter","0.9091","False","bar","1.0","False","counter","0.9091","False","counter","0.9091","False","bus","0.8908","True"
"bar_cabinet","cabinet","0.9354","False","cabinet","0.9354","False","cabinet","0.9354","False","cabinet","0.9354","False","tv","0.8733","True"
"barbecue","oven","0.8883","False","oven","0.8883","False","picture","0.8666","True","appliances","0.8848","False","oven","0.8883","False"
"barrel","pot","0.9082","True","bucket","0.9214","False","picture","0.8934","True","picture","0.8934","True","bottle","0.8953","True"
"basin","bowl","0.8989","False","bowl","0.8989","False","toilet","0.8989","True","toilet","0.8989","True","bowl","0.8989","False"
"basket","bowl","0.8902","True","basket","1.0","False","box","0.8901","False","picture","0.8691","True","bowl","0.8902","True"
"bath_sink","sink","0.9663","False","sink","0.9663","False","sink","0.9663","False","sink","0.9663","False","sink","0.9663","False"
"bathrobe","clothing","0.8377","True","towel","0.8723","True","towel","0.8723","True","towel","0.8723","True","sandwich","0.8137","True"
"bathroom_accessory","toiletry","0.9289","False","toilet paper holder","0.9327","False","toilet","0.9186","True","toilet","0.9186","True","toilet","0.9186","True"
"bathroom_shelf","shelves","0.9028","False","bathroom cabinet","0.9271","False","shelves","0.9028","False","shelving","0.8841","False","sink","0.87","True"
"bathroom_utensil","toiletry","0.8937","False","toilet paper","0.9057","True","toilet","0.8899","True","toilet","0.8899","True","spoon","0.9069","True"
"bathtub","bathtub","1.0","False","bathtub","1.0","False","bathtub","1.0","False","bathtub","1.0","False","sink","0.91","True"
"beam","camera","0.9016","True","light","0.9153","True","otherstructure","0.8908","False","beam","1.0","False","knife","0.8861","True"
"bed","bed","1.0","False","bed","1.0","False","bed","1.0","False","bed","1.0","False","bed","1.0","False"
"bed_small","bed","0.9754","False","bed","0.9754","False","bed","0.9754","False","bed","0.9754","False","bed","0.9754","False"
"bed_table","table","0.9473","False","table","0.9473","False","table","0.9473","False","table","0.9473","False","bed","0.9393","False"
"bedframe","bed","0.944","False","bed","0.944","False","bed","0.944","False","bed","0.944","False","bed","0.944","False"
"bell","kettle","0.8834","True","telephone","0.8861","True","lamp","0.878","True","objects","0.8615","True","bottle","0.8781","True"
"bench","bench","1.0","False","bench","1.0","False","chair","0.9049","False","furniture","0.9065","False","bench","1.0","False"
"bicycle","bicycle","1.0","False","bicycle","1.0","False","picture","0.8989","True","picture","0.8989","True","bicycle","1.0","False"
"bidet","toilet","0.8983","False","toilet","0.8983","False","toilet","0.8983","False","toilet","0.8983","False","toilet","0.8983","False"
"bin","trashcan","0.9504","False","bin","1.0","False","box","0.9131","False","clothes","0.889","True","cup","0.8998","True"
"binder","clothing","0.8796","True","clothes","0.8829","True","clothes","0.8829","True","clothes","0.8829","True","book","0.8791","False"
"blanket","clothing","0.8783","True","blanket","1.0","False","towel","0.9168","False","towel","0.9168","False","bed","0.8776","True"
"blinds","window","0.895","False","blinds","1.0","False","blinds","1.0","False","blinds","1.0","False","person","0.8571","True"
"board","tray","0.894","True","board","1.0","False","whiteboardperson","0.8958","True","board_panel","0.9375","False","surfboard","0.883","True"
"boiler","washer_dryer","0.8668","True","radiator","0.8717","True","toilet","0.847","True","appliances","0.8753","False","train","0.8601","True"
"book","book","1.0","False","book","1.0","False","books","0.9913","False","picture","0.9172","True","book","1.0","False"
"book_rack","book","0.9286","False","bookshelf","0.9493","False","bookshelf","0.9493","False","shelving","0.9143","False","book","0.9286","False"
"bottle","bottle","1.0","False","bottle","1.0","False","picture","0.9038","True","objects","0.907","False","bottle","1.0","False"
"bottles_of_wine","bottle","0.9423","False","bottle","0.9423","False","picture","0.8802","True","picture","0.8802","True","bottle","0.9423","False"
"bowl","bowl","1.0","False","bowl","1.0","False","picture","0.9012","True","picture","0.9012","True","bowl","1.0","False"
"box","picture","0.922","True","box","1.0","False","box","1.0","False","picture","0.922","True","book","0.9133","True"
"box_of_fruit","tray","0.8414","True","box","0.9019","False","box","0.9019","False","plant","0.8315","True","apple","0.8336","True"
"box_of_tissue","toiletry","0.8646","True","tissue box","0.9541","False","box","0.9338","False","clothes","0.8582","True","book","0.8574","True"
"breadbin","breadbin","1.0","False","storage bin","0.9058","False","box","0.883","False","misc","0.8805","False","toaster","0.8846","True"
"bridge","car","0.8774","True","structure","0.9074","False","wall","0.8802","True","wall","0.8802","True","boat","0.9031","True"
"broom","picture","0.8727","True","broom","1.0","False","picture","0.8727","True","picture","0.8727","True","spoon","0.8727","True"
"brush","picture","0.9104","True","picture","0.9104","True","picture","0.9104","True","picture","0.9104","True","toothbrush","0.9081","False"
"bucket","pot","0.9261","False","bucket","1.0","False","box","0.8988","True","picture","0.8916","True","cup","0.9179","True"
"bush","tree","0.8945","False","plant","0.9051","False","picture","0.875","True","plant","0.9051","False","person","0.8715","True"
"bust","picture","0.8401","True","picture","0.8401","True","picture","0.8401","True","picture","0.8401","True","bottle","0.8296","True"
"button","clothing","0.8848","True","machine","0.888","True","clothes","0.8867","True","clothes","0.8867","True","person","0.8721","True"
"cabinet","cabinet","1.0","False","cabinet","1.0","False","cabinet","1.0","False","cabinet","1.0","False","tv","0.8954","True"
"cake_stand","table","0.8798","False","table","0.8798","False","table","0.8798","False","table","0.8798","False","cake","0.9001","True"
"calendar","book","0.8877","True","calendar","1.0","False","books","0.8846","True","picture","0.8783","True","book","0.8877","True"
"camera","camera","1.0","False","picture","0.9525","False","picture","0.9525","False","picture","0.9525","False","person","0.9318","False"
"can","person","0.9311","False","person","0.9311","False","picture","0.9231","True","misc","0.9335","False","person","0.9311","False"
"candle","candle","1.0","False","candle","1.0","False","lamp","0.9166","False","picture","0.8934","True","cup","0.9107","True"
"car","car","1.0","False","picture","0.9137","True","picture","0.9137","True","picture","0.9137","True","car","1.0","False"
"carpet","carpet","1.0","False","floor","0.8996","False","floor_mat","0.902","False","floor","0.8996","False","bed","0.8325","True"
"carpet_roll","carpet","0.9204","False","mat","0.8502","True","floor_mat","0.8435","True","floor","0.8361","True","bottle","0.8101","True"
"cart","car","0.8991","True","cart","1.0","False","chair","0.8906","True","chair","0.8906","True","car","0.8991","True"
"case","picture","0.9353","False","picture","0.9353","False","picture","0.9353","False","picture","0.9353","False","person","0.9215","True"
"casket","bed","0.8789","True","box","0.8866","False","box","0.8866","False","bed","0.8789","True","bed","0.8789","True"
"cat","animal","0.937","False","person","0.9044","True","picture","0.899","True","misc","0.8991","True","cat","1.0","False"
"ceiling_fan","ceiling_lamp","0.9147","True","ceiling light","0.908","True","ceiling","0.8942","True","ceiling","0.8942","True","clock","0.8101","True"
"chair_stand","chair","0.9538","False","chair","0.9538","False","chair","0.9538","False","chair","0.9538","False","chair","0.9538","False"
"chaise","chair","0.9255","False","chair","0.9255","False","chair","0.9255","False","chair","0.9255","False","chair","0.9255","False"
"chandelier","ceiling_lamp","0.8937","False","ceiling light","0.886","False","lamp","0.8771","False","lighting","0.8665","True","clock","0.8428","True"
"chest","chest_of_drawers","0.8827","False","clothes","0.8928","True","clothes","0.8928","True","clothes","0.8928","True","person","0.8606","True"
"chimney","fireplace","0.8792","False","structure","0.8923","False","wall","0.8682","True","fireplace","0.8792","False","oven","0.8622","True"
"christmas_tree","tree","0.9263","False","plant","0.8709","True","picture","0.8683","True","plant","0.8709","True","person","0.8566","True"
"clock","wall_clock","0.9557","False","clock","1.0","False","picture","0.8826","True","picture","0.8826","True","clock","1.0","False"
"cloth","clothing","0.9536","False","clothes","0.9513","False","clothes","0.9513","False","clothes","0.9513","False","book","0.885","True"
"clothes","clothing","0.9863","False","clothes","1.0","False","clothes","1.0","False","clothes","1.0","False","person","0.9288","False"
"clothes_hanger","clothing","0.8786","True","clothes","0.8945","True","clothes","0.8945","True","clothes","0.8945","True","fork","0.882","True"
"clothes_hanger_rod","clothing","0.843","True","closet rod","0.8817","False","clothes","0.851","True","clothes","0.851","True","fork","0.8584","True"
"clothes_rack","wardrobe","0.8835","False","coat rack","0.917","False","clothes","0.8906","True","clothes","0.8906","True","bed","0.8402","True"
"clothing","clothing","1.0","False","clothes","0.9863","False","clothes","0.9863","False","clothes","0.9863","False","person","0.9176","True"
"coat_hanger","clothing","0.8747","True","coat rack","0.9176","False","clothes","0.8816","True","clothes","0.8816","True","fork","0.875","True"
"coffee_machine","coffee_maker","0.9689","False","coffee maker","0.9689","False","television","0.8719","True","appliances","0.9014","False","cup","0.9011","True"
"coffee_maker","coffee_maker","1.0","False","coffee maker","1.0","False","picture","0.8745","True","appliances","0.8905","False","cup","0.901","True"
"computer","laptop","0.9467","False","laptop","0.9467","False","television","0.9179","True","appliances","0.9143","False","laptop","0.9467","False"
"computer_desk","table","0.8846","False","desk","0.9307","False","desk","0.9307","False","table","0.8846","False","dining table","0.8859","True"
"computer_equipment","laptop","0.8895","False","laptop","0.8895","False","television","0.8712","True","appliances","0.8964","False","laptop","0.8895","False"
"container","picture","0.9176","True","container","1.0","False","box","0.9396","False","picture","0.9176","True","truck","0.9211","True"
"cooker","oven","0.9385","False","oven","0.9385","False","picture","0.8899","True","appliances","0.9181","False","oven","0.9385","False"
"cooker_unit","oven","0.9246","False","oven","0.9246","False","box","0.8902","True","appliances","0.9168","False","oven","0.9246","False"
"cosmetic","drinkware","0.8981","True","container","0.9101","False","picture","0.8875","True","objects","0.8884","False","cup","0.9003","True"
"couch","couch","1.0","False","couch","1.0","False","sofa","0.9682","False","sofa","0.9682","False","couch","1.0","False"
"counter","counter","1.0","False","counter","1.0","False","counter","1.0","False","counter","1.0","False","dining table","0.8847","True"
"cover","book","0.9247","False","book","0.9247","False","picture","0.9228","True","picture","0.9228","True","book","0.9247","False"
"credenza","cabinet","0.8742","True","tv stand","0.8778","False","cabinet","0.8742","True","cabinet","0.8742","True","tv","0.8442","True"
"crib","bed","0.8786","False","bed","0.8786","False","bed","0.8786","False","bed","0.8786","False","bed","0.8786","False"
"cup","drinkware","0.9311","False","cup","1.0","False","picture","0.9186","True","picture","0.9186","True","cup","1.0","False"
"curtain","curtain","1.0","False","curtain","1.0","False","curtain","1.0","False","curtain","1.0","False","cup","0.8558","True"
"curtain_rail","curtain","0.9228","False","curtain","0.9228","False","curtain","0.9228","False","curtain","0.9228","False","train","0.8172","True"
"curtain_rod","curtain","0.9035","False","shower curtain rod","0.9104","False","curtain","0.9035","False","curtain","0.9035","False","cup","0.8132","True"
"dartboard","picture","0.8801","True","picture","0.8801","True","picture","0.8801","True","picture","0.8801","True","tennis racket","0.8794","True"
"decor","picture","0.8952","True","decoration","0.9744","False","otherfurniture","0.9169","False","furniture","0.9218","True","clock","0.8856","True"
"decoration","picture","0.8872","True","decoration","1.0","False","otherfurniture","0.8971","False","furniture","0.9","True","clock","0.8804","True"
"decorative_bowl","bowl","0.9191","False","bowl","0.9191","False","table","0.8594","True","table","0.8594","True","bowl","0.9191","False"
"decorative_plate","plate","0.9338","False","plate","0.9338","False","table","0.8314","True","table","0.8314","True","bowl","0.844","True"
"decorative_quilt","cushion","0.8186","True","blanket","0.8198","True","curtain","0.8061","True","cushion","0.8186","True","bed","0.7891","True"
"desk","table","0.9391","False","desk","1.0","False","desk","1.0","False","table","0.9391","False","dining table","0.9313","False"
"desk_and_chairs","chair","0.9333","False","desk","0.9461","False","desk","0.9461","False","chair","0.9333","False","chair","0.9333","False"
"desk_clutter","table_lamp","0.8104","True","desk","0.8855","True","desk","0.8855","True","objects","0.8175","True","dining table","0.8264","True"
"dinner_table","table","0.9346","False","dining table","0.962","False","table","0.9346","False","table","0.9346","False","dining table","0.962","False"
"dinnerware","plate","0.9246","False","plate","0.9246","False","table","0.8929","True","table","0.8929","True","dining table","0.9062","True"
"dishwasher","dishwasher","1.0","False","dishwasher","1.0","False","refridgerator","0.8543","True","appliances","0.8605","True","microwave","0.8661","True"
"display_cabinet","cabinet","0.8828","False","cabinet","0.8828","False","cabinet","0.8828","False","cabinet","0.8828","False","tv","0.8328","True"
"display_table","table","0.9231","False","table","0.9231","False","table","0.9231","False","table","0.9231","False","dining table","0.8894","True"
"dj_table","table","0.9127","False","table","0.9127","False","table","0.9127","False","table","0.9127","False","dining table","0.8938","True"
"dog","animal","0.9454","False","person","0.9088","True","picture","0.9028","True","picture","0.9028","True","dog","1.0","False"
"dog_bed","bed","0.9265","False","bed","0.9265","False","bed","0.9265","False","bed","0.9265","False","bed","0.9265","False"
"door","door","1.0","False","door","1.0","False","door","1.0","False","door","1.0","False","refrigerator","0.8852","True"
"doormat","carpet","0.8663","True","mat","0.8895","False","floor_mat","0.9313","False","floor","0.8524","True","bed","0.8105","True"
"drawer","chest_of_drawers","0.9073","False","dresser","0.9226","False","dresser","0.9226","False","chest_of_drawers","0.9073","False","suitcase","0.8534","True"
"drawer_desk","chest_of_drawers","0.8993","False","desk","0.9492","False","desk","0.9492","False","chest_of_drawers","0.8993","False","dining table","0.8753","True"
"dresser","chest_of_drawers","0.9368","False","dresser","1.0","False","dresser","1.0","False","chest_of_drawers","0.9368","False","bed","0.8581","True"
"dressing_table","table","0.8728","True","desk","0.9233","False","desk","0.9233","False","table","0.8728","True","dining table","0.8934","True"
"drinkware","drinkware","1.0","False","cup","0.9311","False","otherfurniture","0.8778","True","objects","0.8795","False","cup","0.9311","False"
"drum","pot","0.8932","True","bucket","0.8915","True","otherfurniture","0.8759","True","furniture","0.8832","True","cup","0.8781","True"
"dumbbell","camera","0.8856","True","dumbbell","1.0","False","picture","0.8829","True","picture","0.8829","True","cell phone","0.8706","True"
"electric_outlet","camera","0.8701","True","power outlet","0.9723","False","toilet","0.8671","True","appliances","0.8696","True","toilet","0.8671","True"
"exercise_equipment","exercise_bike","0.9005","False","machine","0.8536","True","otherfurniture","0.8439","True","gym_equipment","0.952","False","chair","0.8302","True"
"fan","camera","0.8696","True","fan","1.0","False","otherprop","0.8623","True","picture","0.8606","True","person","0.8599","True"
"fence","bench","0.8752","True","wall","0.9036","False","wall","0.9036","False","wall","0.9036","False","bench","0.8752","True"
"fencing","camera","0.8461","True","wall","0.8715","True","wall","0.8715","True","wall","0.8715","True","sports ball","0.8396","True"
"file_cabinet","filing_cabinet","0.9646","False","file cabinet","1.0","False","cabinet","0.9315","False","cabinet","0.9315","False","refrigerator","0.8911","True"
"fire_dish","bowl","0.8813","False","bowl","0.8813","False","table","0.8561","True","appliances","0.8642","True","bowl","0.8813","False"
"fire_extinguisher","bottle","0.8606","True","fire extinguisher","1.0","False","picture","0.8334","True","picture","0.8334","True","bottle","0.8606","True"
"fire_pit","fireplace","0.8602","True","fireplace","0.8602","True","table","0.8503","True","fireplace","0.8602","True","bench","0.8394","True"
"fireplace","fireplace","1.0","False","fireplace","1.0","False","otherfurniture","0.856","True","fireplace","1.0","False","oven","0.8632","True"
"fireplace_utensil","fireplace","0.9155","True","fireplace","0.9155","True","otherfurniture","0.8371","True","fireplace","0.9155","True","knife","0.8516","True"
"fireplace_wall","fireplace","0.9645","False","fireplace","0.9645","False","wall","0.8862","False","fireplace","0.9645","False","tv","0.8286","True"
"firewood_holder","shelves","0.817","True","storage organizer","0.8264","True","otherfurniture","0.8231","True","furniture","0.8257","True","book","0.8061","True"
"floor","carpet","0.8996","True","floor","1.0","False","floor","1.0","False","floor","1.0","False","cell phone","0.866","True"
"floor__outside","carpet","0.8722","True","floor","0.9678","False","floor","0.9678","False","floor","0.9678","False","car","0.8481","True"
"floor_mat","carpet","0.902","False","mat","0.9322","False","floor_mat","1.0","False","floor","0.9228","False","bed","0.8453","True"
"flower","flower","1.0","False","plant","0.9247","False","picture","0.8818","True","plant","0.9247","False","bird","0.8717","True"
"flower_stand","flower","0.8734","True","plant","0.858","True","shelves","0.8271","True","plant","0.858","True","potted plant","0.8576","True"
"flowerbed","flower","0.9007","False","plant","0.8914","False","wall","0.8443","True","plant","0.8914","False","potted plant","0.8779","False"
"flowerpot","potted_plant","0.9461","False","potted plant","0.9461","False","box","0.8823","True","plant","0.9167","False","potted plant","0.9461","False"
"food","camera","0.9236","True","cup","0.9227","True","picture","0.9222","True","objects","0.9244","False","cup","0.9227","True"
"food_tray","tray","0.9704","False","tray","0.9704","False","table","0.9041","True","table","0.9041","True","bowl","0.8825","True"
"fountain","toilet","0.862","True","toilet","0.862","True","toilet","0.862","True","toilet","0.862","True","boat","0.8649","True"
"frame","picture_frame","0.9553","False","picture","0.9226","False","picture","0.9226","False","picture","0.9226","False","person","0.8847","True"
"freezer","fridge","0.9413","False","refrigerator","0.9333","False","refridgerator","0.8819","False","misc","0.8843","True","refrigerator","0.9333","False"
"fridge","fridge","1.0","False","refrigerator","0.9791","False","refridgerator","0.9293","False","appliances","0.8921","False","refrigerator","0.9791","False"
"fruit","camera","0.8995","True","plant","0.9131","True","picture","0.8871","True","plant","0.9131","True","apple","0.9107","False"
"fruit_bowl","bowl","0.9174","False","bowl","0.9174","False","table","0.8727","True","table","0.8727","True","bowl","0.9174","False"
"furnace","oven","0.8871","False","oven","0.8871","False","otherfurniture","0.8748","True","appliances","0.8881","False","oven","0.8871","False"
"garage_door","door","0.8918","False","door","0.8918","False","door","0.8918","False","door","0.8918","False","car","0.8573","True"
"garden_bower","potted_plant","0.8209","True","structure","0.8416","True","wall","0.8146","True","plant","0.8355","True","potted plant","0.8209","True"
"gate","door","0.9144","False","door","0.9144","False","door","0.9144","False","door","0.9144","False","car","0.8638","True"
"gift","picture","0.9441","False","picture","0.9441","False","picture","0.9441","False","picture","0.9441","False","person","0.9248","True"
"globe","bowl","0.8686","True","ball","0.9027","False","lamp","0.864","True","picture","0.8472","True","sports ball","0.8965","True"
"grill","oven","0.8758","False","oven","0.8758","False","picture","0.8528","True","appliances","0.8688","True","oven","0.8758","False"
"guitar","picture","0.8833","True","guitar","1.0","False","picture","0.8833","True","picture","0.8833","True","knife","0.8784","True"
