Object Hash,"Articulated Object:
does the object have links/joint/slides which should move relative to the base?

E.g. a fridge, chest of drawers, or cabinet","Is Pickable:
is the object small enough to be picked up and carried around in one hand?
Furniture is not pickable (chairs, stools, etc...)","Semantic Category:
CONDENSED

This is an effort to condense the semantic categories by a couple hundred","Semantic Category:
The primary semantic category for the object

All empty fields should be filled and incorrect semantic classes corrected.",,
00ea83bf1b2544df87f6d52d02382c0bb75598c6_part_16,No,No,rack,rack,,
00ea83bf1b2544df87f6d52d02382c0bb75598c6_part_2,No,Yes,book,book,,
00f41a55911cb9b2599dc27a470d1ae5e4eb60f4,No,No,bed,bed,,
00f5afbca9f9bb5eadf718e81a66f0973ed67898,Yes,No,desk,desk,,
00f627ed56440e3753290d685f5ea00b4b33882d,No,No,picture,picture,,
00ff4e2d38b8c28bd0e02607b698ae80ddb497ef,No,No,lamp,lamp,,
011089758bc34f947c4862a8e800c51ec221a2b6,Yes,No,bin,trash_bin,,
0110c7ff0e787bf98c9da923554ddea1484e4a3d,No,No,table,table,,
0113c9f0a2767936709d028b730e5c1867870360,No,No,lamp,lamp,,
0116bdbe11d047a4872a067ceb84b3c5552f73cc,No,Yes,cup,mug,,
01195e5a99e8b8ef231532ab1be8235e26d60b71,No,No,drum,drum,,
011f58b2c0025f1efd8d9935e18eb47a1f8bd872,No,No,bed,bed,,
01203626b508361ea3992e1fd995b5e524e92c73,No,No,lamp,lamp,,
012107610bc46032fceeff39de7db9134810d084,No,No,picture,picture,,
012206d2b382d07af6b113f4968003c7d8d70b85,No,Yes,pillow,pillow,,
0125f7747d3e3f85bd4cfb181f9a63b6a8afd6f3,No,No,flowerpot,flowerpot,,
0128475579600f804ec7ef1cf8a212622760cfd1,No,Yes,cup,cup,,
01362ea241206b5668fb03f345c4637fd9386c8a,Yes,No,cabinet,cabinet,,
013b244fbce89344d7cc19d3eaeb116bb6e3a92d,No,No,painting,painting,,
01490a02cbd67eec6e526ef157e7cb14fa15e610,No,No,carpet,carpet,,
01495dff5eccd8289fb31fc6df511bf2a043a495,Yes,No,drawer,drawer,,
014a363a4a3feb9c57288f972744ccb3196207b7,No,No,unknown,curb,,
014a4d0309319f687eec4f5d944af61903d8f71b,No,Yes,decoration,decoration,,
014f3ebc50361692497fe6439b2c112ed3e4ab25,No,No,seat,sofa_chair,,
014fab638dc1b20201ac76b8ee36a14e92463c5a,No,No,lamp,desk_lamp,,
0159bbff524170a2ace52cd61a00a573da95fd38,No,Yes,bowl,bowl,,
015ae9b8de4de0be8a2c276c15869fa381923022,No,No,picture,picture,,
015fa236691b0082e304ffd1f2301cac81d32ad1,No,No,knob,knob,,
0164a753999c91217e819b52f8f354b3f60ded96,No,No,doormat,doormat,,
016556105b34152b96d7323eed7878bb8c142fbc,No,No,table,coffee_table,,
016740800c9b1834742579705ddfc6899dfceddc,No,No,bathrobe,bathrobe,,
016e2356defa1d43ec856c0e3f7943fd5363f1e9,No,No,curtain,curtain,,
0172eee8812e5e23b514b967b804ed305722b095,No,No,lamp,lamp,,
0175aa74c194cf1c634ee79498cd4afc793badfe,Yes,No,drawer,drawer,,
017b17afc6ea4ec7b629aaea6e1103e836e8d3d4,No,No,bin,trash_bin,,
017ce24cca44d57f292120d0479539ffb133d91a,No,No,mirror,mirror,,
017f76377fbb6c77c47b3eb531ca35be7f114f1e,No,No,chandelier,chandelier,,
01841f449f738c1e24fa15753d1fbc5fe0c6a92c,Yes,No,fridge,fridge,,
018f52ea0b259b9134aaa3685171d7ffe624c3dc,No,No,lamp,lamp,,
0191de75f5a06878ffa4251bb8f1dc7be8ec0384,Yes,No,cabinet,cabinet,,
0196e8210ba3ddbb8e0d61a6ff836da41e5b3f66,No,No,flowerpot,flowerpot,,
0198c423ae08bf04bb03b16238b34407d6ab4ecf,No,No,stand,stand,,
019b16dbb75c196d82d53639d6e987c1b8d95dc2,No,No,stool,stool,,
01a2b6c1759609b50dcb324bbca263c1ec66345a,No,No,carpet,carpet,,
01a976d8dd0f7a1f35b01709c20fca6683b94311,Yes,No,shower,shower_cabin,,
01abb73c808645c18c8ce12e5eef4de115705576,No,No,cabinet,cabinet,,
01af821742a85925760456d37968cbb767b80113,No,No,seat,chair,,
01b0483516935b5ac613f1aec72fd518f73e23c3,No,No,couch,couch,,
01b65339d622bb9f89eb8fdd753a76cffc7eb8d6,Yes,No,display_cabinet,display_cabinet,,
01be253cbfd14b947e9dbe09d0b1959e97d72122,Yes,No,desk,desk,,
01c345f255021ade972594d4e9687e18d0391d63,No,No,table,table,,
01c345f255021ade972594d4e9687e18d0391d63_part_1,No,No,tablecloth,tablecloth,,
01c345f255021ade972594d4e9687e18d0391d63_part_2,No,No,seat,chair,,
01c345f255021ade972594d4e9687e18d0391d63_part_20,No,Yes,kitchen_appliance,kitchen_appliance,,
01c345f255021ade972594d4e9687e18d0391d63_part_26,No,Yes,kitchen_appliance,kitchen_appliance,,
01c345f255021ade972594d4e9687e18d0391d63_part_3,#N/A,#N/A,#N/A,#N/A,,
01c345f255021ade972594d4e9687e18d0391d63_part_32,No,Yes,kitchen_appliance,kitchen_appliance,,
01c345f255021ade972594d4e9687e18d0391d63_part_38,No,Yes,cup,glass,,
01c345f255021ade972594d4e9687e18d0391d63_part_4,#N/A,#N/A,#N/A,#N/A,,
01c345f255021ade972594d4e9687e18d0391d63_part_44,No,Yes,cup,glass,,
01c345f255021ade972594d4e9687e18d0391d63_part_5,#N/A,#N/A,#N/A,#N/A,,
01c345f255021ade972594d4e9687e18d0391d63_part_6,#N/A,#N/A,#N/A,#N/A,,
01c345f255021ade972594d4e9687e18d0391d63_part_7,#N/A,#N/A,#N/A,#N/A,,
01c345f255021ade972594d4e9687e18d0391d63_part_8,No,Yes,plate,plate,,
01c345f255021ade972594d4e9687e18d0391d63_part_9,No,Yes,plate,plate,,
01cc0bbc121ef31692b03269b6946aeb2aca5f10,No,No,seat,sofa_chair,,
01cfe774e804fd02e24fdc259b8c84bb8105d1c2,No,No,basket,basket,,
01d1b7a2c92f97d248ca72d85d828f930e472064,Yes,No,cabinet,cabinet,,
01d630da518f4363755976657a76467162ca8d75,No,No,seat,pouffe,,
01d951c6852a73f811d629107ad2367b73006a6a,No,Yes,decoration,decoration,,
01d9fff2f701af7d5d40a7a5adad5bf40d4c49c8,No,No,table,table,,
01e5e60f2cb12562e4e8f7bf78beb2832a5638e9,No,No,bench,bench,,
01e667f965e732a23ebea47ea3f4ddaccac214d4,No,No,seat,sofa_chair,,
01e82787da211d0f5e40f084fe22444c97b41857,No,No,bush,bush,,
01eb64cfe0595d98521831a9066e146589d90567,Yes,No,cabinet,cabinet,,
01edac706c8e5f84fbfe967d135a85e316577079,No,Yes,photo,photo,,
01f076bf712f7a14ceed10f92a72948c05925858,No,No,vase,vase,,
01f1f0ea47cb3046a99ba5d7652f05107fb1f22a,No,No,lamp,lamp,,
01f6ebc0ac1fc20a285a56ae5b88110f043298fd,No,No,picture_frame,picture_frame,,
01fd238f3e39659142240fc38ae44796e180597c,No,No,table,table,,
0211f873fcc137aedd9d9984604d97965fc9c75f,No,No,bed,bed,,
0216710cd4f11348510febf302c1eac6b6a095b4,No,No,chandelier,chandelier,,
02169c44fd8c796b2be3a5d9e5f01db7a29a4b3d,No,No,lamp,floor_lamp,,
021a0ba1300490e2e288221a21f4387ce626d1de,No,Yes,bottle,bottle,,
021a61ef4010ddd21de0343377e044d90e1b54a3,No,No,table,table,,
021adaf915c878c4f051bec910020f95968c908b,No,No,seat,chair,,
0234d7b08ff7e6bc20360183fbee9f9f1de895db,No,No,decoration,decoration,,
0235b214f27bbe9539c1b9ca31a6ebd252f92c77,No,No,pot,pot,,
0236208ddb9dd0050851db2b974f088fd9a9fa98,No,No,sofa_set,sofa_set,,
0239c03b6896e4e4fad328885cf078995c913046,No,No,table,table,,
0244897d4fc5fee6928e666d74e756ee9d08c863,No,No,seat,pouffe,,
0245ea7e27dca7c58b0fbf3f5bfc5eb1de3abd09,No,No,carpet,carpet,,
025a2f922c27de0a59650bbc939da3057ab72810,No,No,seat,chair,,
025e4ca9d6fcb78c71b7bb99d608d65fd4c39593,No,No,carpet,carpet,,
026aed52ad8a3e60e5432fbbc07b03f466541ce0,No,Yes,picture,picture,,
026b2dafd430b0c122adb69fd93b734a0c1e56e4,No,No,swimming_pool,swimming_pool,,
026c407121ed33203feb319ea113eed446dfd822,No,No,carpet,carpet,,
0270712b9b5ba0bcb1ad14e15b61c3d8f2e75a90,No,No,carpet,carpet,,
027bfc4c53b265ba39e329ff82d716985aaa7845,No,No,window_shade,window_shade,,
027d388a46684a3ec06cac714c25d0f131d0e029,No,No,lamp,table_lamp,,
027e92cebd21d094967fa5f266896148e91db402,No,No,decoration,wall_hanging_decoration,,
027f20642dd34e7914fc4fc4efa70fbb54bcecbb,Yes,No,cabinet,bathroom_cabinet,,
028120d30742df66fc8b68a8cd61fe7664704170,No,No,decoration,decoration,,
028155e2a19be6e6c2b88461dc31bb45fa26a67b,No,No,picture,picture,,
028240450aee55ea1220b83207f76c10990a937d,No,No,picture,picture,,
029320781a2fc9117543a3004e3bf0dd78616470,No,No,pillow,pillow,,
0294b0151f3e49f76da9dfb668146fb4d0204653,No,No,seat,sofa_chair,,
0295f792a8fb3c037581372abe64e04c606a4f49,No,Yes,towel,towel,,
0296bcd4a4d00c06ab554b40c63fa2c0534d67e8,No,No,ladder,ladder,,
0299806a0f7bfcfe1b574d57834d8208c0f8c035,No,No,bed,bed,,
029c59012cbc787082f4b8725695730327daf981,No,Yes,picture,picture,,
02b28982fd18f0af16e56df297359922109795f0,No,No,tree,tree,,
02ba6369643a0a6337274b8d3590a1b1ca03afda,No,Yes,decoration,decoration,,
02bb48b60ab9477eae9ccbd7653100150d1a75ea,No,No,table,table,,
02c784e528d209e63cfeb98944ae483256338bc5,No,Yes,bottle,bottle,,
02ca947f287608de3f89a5355b258a2758557497,No,No,picture,picture,,
02d0251f683a3fcd7d5ec09c5a6910ccdb363786,Yes,No,cabinet,cabinet,,
02d45a27671570055bbc6637b6064f6b45e2921d,No,No,lamp,lamp,,
02d70596905df1dae90b83e8b46c406a4a079296,No,No,decoration,decoration,,
02e1c4b4b32e647fc78261af94a1c4fd00bb6fb9,No,Yes,pillow,pillow,,
02e22ed56270338bef5f8436e82023c36cd29104,No,No,bed,bed,,
02e404b057e77e5fa66690bc55ae14a72ce0635c,No,No,seat,chair,,
02e5544e1f707bb8a0b5199d4aac1aeaaa8f5f59,No,No,bush,bush,,
02e9b52c3c888654f8048c5a9a84f2666dbadcdf,No,No,candle,candle,,
02fa6e7e6143ea72b619347a5a8fd51d11a0de21,No,No,decoration,decoration,,
02fcdf045b13b87549deed0fa2e68246a3096798,No,No,chest,chest,,
02fd18bfc142dc5d0f56d936df9e4be2955ea983,No,No,seat,pouffe,,
02ff1455a2e18c33ab821ba997da698b262f6117,No,No,carpet,carpet,,
0300a6d0d3baaa5d8b0434b2b07652a8ed86ed2e,No,No,painting,painting,,
030425595d318ba1c3ed6d7e1ae6c7571966a91c,Yes,No,case,case,,
030dc7920f6b43d809ddc87281cdd46ffdad2d9f,Yes,No,cabinet,cabinet,,
031024e00569909d466d87df9fead90355ba29e5,No,No,washer/dryer,washing_machine,,
031411359a5836c96605d7cbc9929beaa3ecd616,No,No,box,box,,
03152a787bcfea612268d1d0819481dbe1b4e317,No,No,shelf,shelf,,
031ccffaf5026ee18cdc60c1d3dc62ea41c690d0,No,No,pillow,pillow,,
03260ee4f55865d1cb997ae7a6bbe9b56cda3b84,No,No,coat_hanger,coat_hanger,,
03298a8792f49a1638f5af98082c21d449c6c982,No,No,carpet,carpet,,
032a38c5d0094c30854ad6c58a23ae0767e6bde8,Yes,No,cabinet,cabinet,,
032e93dce421fcfe6bbed59ea7ea80d43120d8a5,No,No,seat,sofa_chair,,
033774ae209de7a75a61ef44b69e42189f9af358,No,No,table,table,,
0338775a90793aa9bbc38526c7849569db00a99c,No,No,curtain,curtain,,
033b293a0bc93c5ac29c713813a07e29080fae02,No,No,bed,bed,,
033ec086c23a6d39fb37df87e6748c413bf80e29,No,No,bed,bed,,
034315d3884f2819b9ab0462e70270c8e5036cad,No,No,dog_bed,dog_bed,,
034f7968cb012ada5f89b24cad2de34a2b9d0967,No,No,bathtub,bathtub,,
0352b60a2cb2ebc831195c8a85bc6519a0c98cf8,No,No,bed,bed,,
0355c188335bcb6a2bdf9a1348959df501dece8b,No,No,seat,rocking_chair,,
03569aed377a86f80ab87191174ae47b5332b77a,No,Yes,candle,candle,,
0356ddbfa55a90611ee1f6ecbf851dd5b8d3cee9,Yes,No,sink_cabinet,sink_cabinet,,
035f586bd87453a76d34e69a3197f9c5d8c1b6d7,No,No,toy,toy,,
03614729f1342071965854b2568d10142d887b84,No,No,carpet,carpet,,
03639dab61b6903ff319e047b008cb6abec971c6,Yes,No,cabinet,cabinet,,
0363c161fb31274680eaecf2fd9283353ff5437c,No,No,electric_outlet,electric_outlet,,
0369f773266cd0aadce9e6ccdaf6d3f321ddab3e,No,Yes,picture,picture,,
036e2aeca7ff5df258839e40b8de7517f2cc891a,No,No,rack,rack,,
036edf04844210dae3f5afc59165ad4955b3510b,No,Yes,cup,glass,,
03758534dd2a3a8303e742cf4fc10fedd4c48843,No,Yes,jar,jar,,
0376de3220316ab9bb94f3f930a0a7570316b733,No,No,chandelier,chandelier,,
037c2aea5184e56ef6d240fabe3aee458ead4e52,No,No,lamp,desk_lamp,,
037f34132f162235d80ce46f67c4fa2238d94da0,Yes,No,cabinet,cabinet,,
03823d5c84b2bde5da7e9ec4095ee9ee9ba3d67c,No,No,mirror,mirror,,
03871fc6d279ea76d38897543562ce31976d04e2,No,No,toy,toy,,
038920896508242bee4ea865b8ece6c201e4d858,No,Yes,cup,cup,,
038af338ef574d9420512bae75ae1fe6228d1ca3,No,No,decoration,decoration,,
038b41ad09412325b1d01ef97894be59ca068ab9,No,Yes,cloth,cloth,,
038c64ffa00f7c5dbe4e62342996e78a79510c9d,No,No,pillow,pillow,,
038ccdca4c91d34febe3f4efc596225a66a11d79,Yes,No,cabinet,cabinet,,
038f37d5b8351b29fdc8173d219ca5a503715ccc,Yes,No,cabinet,cabinet,,
0391639c95af7b6f37ca6258afe8dd462605d847,No,Yes,mortar,mortar,,
0391f7b149076276d028060971ae3d197619f196,No,No,bench,bench,,
0392aac9912e9cc1420355e1c03c89df342c2e39,No,No,mirror,mirror,,
0392ded6c1e6c984011b5cfdd64ebe4e5e90eab6,No,No,decoration,decoration,,
0394a9d79148ddbc8709ad1d2aa0e26199e53bac,No,Yes,cup,cup,,
039d68376f58a555b1fff5b989409652dd5d5ae7,No,No,carpet,carpet,,
039f04552895e9d932d6a6eb3fcf7c4f77b7ddab,No,No,table,table,,
03a1677dcedf2937872cc0da3ce35d52580a75d7,No,No,bush,bush,,
03a1708f8547e9291a0b4601b627d1fd5f40a218,No,No,table,table,,
03a8b87b73fec83efafca897e7084a395f746115,No,No,lamp,lamp,,
03ae6268b350d210dc4a83bae454c144b5f8496e,No,No,cup,cup,,
03b06a22e09b5457a578e2cbe28db35844e31aab,No,Yes,box,box,,
03b813e8a1f0de5e3c9d595a8ac8aa7112a07a24,No,No,seat,sofa_chair,,
03b9da6158d9f400ab8842ead21e2644f596ddee,No,No,mirror,mirror,,
03ba174d13db7f909a79cb64d4319383c6fa99ee,Yes,No,wardrobe,wardrobe,,
03c07dd9e6d9dc1c1bc7ec045588abbe8fb06605,No,No,table,table,,
03c328fccef4975310314838e42b6dff06709b06,No,No,rack,rack,,
03c446fac08f40245ff475f29116b80f37c6684c,No,No,picture,picture,,
03c6a0317265df8eeccc9245675fc50af95072d5,Yes,No,cabinet,cabinet,,
03cd93b6d3fbd1c4ccb5684294609c8933f9fd2b,No,No,painting,painting,,
03d14d7378c406f4f4526179a4cd7d2d757ea4ff,No,No,flowerpot,flowerpot,,
03d3f46d0dc93e092f63774bedf3b5911c87ac70,No,No,lamp,lamp,,
03db4f1ffb7ef40b11cb080785e9c193c0114f41,No,No,painting,painting,,
03db515e46a0ad189105897ee11576bf0513bb5c,No,Yes,pillow,pillow,,
03dd9dd0d7ba659a94414118a71378d01463755c,No,No,mirror,mirror,,
03e0a5b0643512a63c10c478fb005fb1228e2ccf,Yes,No,fridge,fridge,,
03e195f8bd27ffb3982ccb69dcab98d53f3f6920,No,No,lamp,wall_lamp,,
03e2bbe2660b454b1a45cd35ebee6d55ec8ac60d,No,No,coat_hanger,coat_hanger,,
03e9622ccd358c4a74cb5186b9f2d9691605f1cd,No,No,couch,couch,,
03ea3b664f0add400809a89ee11d4df65df4581b,No,No,decoration,decoration,,
03ea6405be2d12474033b0e99189d8ffac1f2dde,No,No,statue,statue,,
03ea6472f528d540163f2067c40e832054ed30ab,Yes,No,cabinet,kitchen_cabinet,,
03ec07ddbb7262844606d7a97d7b6b35d7f6ec00,No,No,lamp,ceiling_lamp,,
03ee88f8d8feb58ba1714bdfb88093b7469d51c9,No,No,table,side_table,,
03ef3bc5dca1c31e308fac0da12f0ad8faa4a3f1,No,No,chimney,chimney,,
03f10b35c7310988c0002289934c4b78f80950bd,No,No,swing,swing,,
03f18e41c8808dd0031637e759ac79a388477f52,No,Yes,picture,picture,,
03f1ebddca1b16b46d3198b563149d51e6118d9b,No,No,decoration,decoration,,
03f226dd0e012925a8674564c4de19cb786c9a88,Yes,No,desk,desk,,
03f5582129057840d4a261a73e461d24acd90c9d,No,No,crib,crib,,
03f6741a77ff5522231bdf85e92fa0b7f81ac06e,No,No,bath_sink,bath_sink,,
03fdc8dd8b89fbff8cf749f5c847180ab13e53d2,Yes,No,cabinet,cabinet,,
0401d370f82582f973cb9606076eeda41e90813c,No,No,seat,pouffe,,
040270e2325c49cf03c1e0846cede42781d52c23,No,No,lamp,lamp,,
040317b5276d487ed1238f5ee2db3cb875c86e2e,No,No,toilet,toilet,,
0408927888d894832d62589d945d600dad793e90,No,No,mirror,mirror,,
040b3052e52fe415092d1c10d466381b7b63064c,No,No,flowerpot,flowerpot,,
040c6cf6e1e98037329815a1e3ceb38c505f9523,No,No,gym_equipment,exercise_machine,,
040e26b6afd850d9567eccce83c4347bc8ddd729,No,No,staircase,staircase,,
0416dde32ee4f5e4a01dca599d28925c7c5a3786,No,No,seat,chair,,
0417d03c450eb0fff31f32e2999a1b13395ac51b,No,No,fireplace,fireplace,,
041a043cceb0562e06330f15e31e7d266c4bfacc,No,Yes,speaker,speaker,,
041c06dd0009364a773620e1eb2fd1dc3808222a,Yes,No,cabinet,cabinet,,
042102dff37f1a43e06e8ed2eb307738cc1cf882,No,No,seat,sofa_chair,,
0435460643f982a6b247ee4cd009c9a56eb133cb,Yes,No,cabinet,cabinet,,
0437aada80d3f25d6b05c297845c3d1d4c711579,No,No,carpet,carpet,,
0443db4d501a2ef4f89301f47f4be51a6be97d5f,No,Yes,bowl,bowl,,
0447294ccfcb2ae3908ef4e09dde75184cbf9f65,No,No,table,table,,
044b39afb53c1f71165d8fcf393d7a8856b3f327,No,No,carpet,carpet,,
044c7e58639d89c48cb0815ede7bcee8bac79826,No,No,flowerpot,flowerpot,,
044cb762363e6784f03f023cf5766ae761906236,No,No,picture,picture,,
044ccac5e48c80f820c38ea8fa9b0192869b3a99,No,No,seat,chair,,
044f69d8e2210c02ee7d6742b520cc3db99868b1,No,No,stand,stand,,
04549c868bea0d44eb0081b626419440e99a1e68,No,No,picture,picture,,
0454c08e976a30d2c502c40cd3b4a7f326ffb157,No,No,flowerpot,flowerpot,,
0459e0ef654e9d3b187af4687e543c5277aec5d5,No,Yes,toilet_brush,toilet_brush,,
045fbffe4884b8583b3768185fe8cdc15662e835,No,No,shelf,shelf,,
0463153d9be9a8603ecd0e9af7e7763f42ee6c92,Yes,No,drawer,drawer,,
046608c3dc2147839f59e9a76474cc9a6f8909b1,No,No,clothes,clothes,,
046d2399c7a068aa44cf509456fa190e07710916,No,No,chandelier,chandelier,,
047b04d3192d8ba22aeeab2c6f9fc63766926cd4,No,No,stool,stool,,
047cb9580198e022896e6fc227a2ceef342df1c6,No,No,picture,picture,,
047ea7d3172a2c6fa197851d6cf4d6708db8c5bb,No,No,tree,tree,,
04801d6f327197470d63bfd728d4cf02bd33ec56,No,No,seat,sofa_chair,,
0486ae7dd0b011240a162dc0ff1d96e2cac23dca,Yes,No,wardrobe,wardrobe,,
048800f7638798e930ebf692db5f4172f323d698,No,No,seat,chair,,
048843fa0d4d6d5d53639874af6194a0eaa44f27,No,No,chandelier,chandelier,,
048d80c36ddc6ac63785ca08ccf231431195717c,Yes,No,cabinet,kitchen_cabinet,,
048dc9201fecb8866e67aaae1a35dcfe5bf59024,No,No,rack,rack,,
0491b9ede319cf663bcf2690efb55817be7f2bb6,Yes,No,bathtub,bathtub,,
04931d5ea7f08e2d909793ade1d4c15819db2ceb,No,No,lamp,lamp,,
04935a19ff917a71458e2550d1b6459119282f63,No,No,board,board,,
